"Year","Month","Product_ID","Country","monthly_sales"
2013,1,1,"Argentina",34346025
2013,1,1,"Columbia",3947356.31
2013,1,2,"Argentina",2751851.48
2013,1,2,"Belgium",314850.13
2013,1,2,"Columbia",2885137.06
2013,1,2,"Denmark",101847627.11
2013,1,4,"England",166907.57
2013,1,4,"Finland",15153419.52
2013,1,5,"England",462370.62
2013,2,1,"Argentina",32005575
2013,2,1,"Columbia",4074073.2
2013,2,2,"Argentina",2804313.12
2013,2,2,"Belgium",435185.52
2013,2,2,"Columbia",2481817.06
2013,2,2,"Denmark",84457811.39
2013,2,4,"England",140685.22
2013,2,4,"Finland",16524812.16
2013,2,5,"England",414931.16
2013,3,1,"Argentina",32530050
2013,3,1,"Columbia",4189422.98
2013,3,2,"Argentina",2573004.98
2013,3,2,"Belgium",268694.09
2013,3,2,"Columbia",2821691.18
2013,3,2,"Denmark",89156080.59
2013,3,4,"England",159316.9
2013,3,4,"Finland",28217082.24
2013,3,5,"England",439883.54
2013,4,1,"Argentina",35588700
2013,4,1,"Columbia",4229307.08
2013,4,2,"Argentina",3436237.42
2013,4,2,"Belgium",461560.4
2013,4,2,"Columbia",3149451.18
2013,4,2,"Denmark",99166393.86
2013,4,4,"England",179295.95
2013,4,4,"Finland",22522665.6
2013,4,5,"England",505948.04
2013,5,1,"Argentina",38789100
2013,5,1,"Columbia",4452229.12
2013,5,2,"Argentina",3772468.84
2013,5,2,"Belgium",464857.26
2013,5,2,"Columbia",3389234.12
2013,5,2,"Denmark",106042169.94
2013,5,4,"England",175741.65
2013,5,4,"Finland",32942280.96
2013,5,5,"England",491075.38
2013,6,1,"Argentina",36196650
2013,6,1,"Columbia",3873948.16
2013,6,2,"Argentina",3712853.34
2013,6,2,"Belgium",403865.35
2013,6,2,"Columbia",3242034.12
2013,6,2,"Denmark",87189457.29
2013,6,4,"England",220876.69
2013,6,4,"Finland",19155934.08
2013,6,5,"England",552209.82
2013,7,1,"Argentina",37133775
2013,7,1,"Columbia",4214367.52
2013,7,2,"Argentina",3791545.8
2013,7,2,"Belgium",669262.58
2013,7,2,"Columbia",4125885.3
2013,7,2,"Denmark",116561149.95
2013,7,4,"England",141593.55
2013,7,4,"Finland",27180092.16
2013,7,5,"England",470790.42
2013,8,1,"Argentina",35311500
2013,8,1,"Columbia",2928228.91
2013,8,2,"Argentina",3698545.62
2013,8,2,"Belgium",478044.7
2013,8,2,"Columbia",3235200
2013,8,2,"Denmark",92379616.29
2013,8,4,"England",140405.45
2013,8,4,"Finland",27492566.4
2013,8,5,"England",413424.58
2013,9,1,"Argentina",38437875
2013,9,1,"Columbia",3488241.61
2013,9,2,"Argentina",3979930.78
2013,9,2,"Belgium",550575.62
2013,9,2,"Columbia",3654834.12
2013,9,2,"Denmark",95225689.95
2013,9,4,"England",154773.56
2013,9,4,"Finland",33901217.28
2013,9,5,"England",476038.31
2013,10,1,"Argentina",44397675
2013,10,1,"Columbia",4262999.85
2013,10,2,"Argentina",4514085.66
2013,10,2,"Belgium",591786.37
2013,10,2,"Columbia",3835446.27
2013,10,2,"Denmark",105367408.33
2013,10,4,"England",179950.39
2013,10,4,"Finland",30052978.56
2013,10,5,"England",509437.65
2013,11,1,"Argentina",45525375
2013,11,1,"Columbia",4043244.66
2013,11,2,"Argentina",5258087.1
2013,11,2,"Belgium",507716.44
2013,11,2,"Columbia",4186034.12
2013,11,2,"Denmark",97483901.26
2013,11,4,"England",194881.62
2013,11,4,"Finland",37328238.72
2013,11,5,"England",578558.98
2013,12,1,"Argentina",33610500
2013,12,1,"Columbia",4002505.91
2013,12,2,"Argentina",4010930.84
2013,12,2,"Belgium",558817.77
2013,12,2,"Columbia",4119051.18
2013,12,2,"Denmark",79520089.65
2013,12,4,"England",200694.95
2013,12,4,"Finland",25899212.16
2013,12,5,"England",587159.36
2014,1,1,"Argentina",44600850
2014,1,1,"Columbia",4066403.75
2014,1,2,"Argentina",4821701.64
2014,1,2,"Belgium",621458.11
2014,1,2,"Columbia",4922331.18
2014,1,2,"Denmark",126116161.89
2014,1,4,"England",139593.24
2014,1,4,"Finland",28468419.84
2014,1,5,"England",459686.39
2014,2,1,"Argentina",41562675
2014,2,1,"Columbia",4513102.85
2014,2,2,"Argentina",4044315.52
2014,2,2,"Belgium",743441.93
2014,2,2,"Columbia",4631622.36
2014,2,2,"Denmark",87533652.84
2014,2,4,"England",144619.53
2014,2,4,"Finland",18218511.36
2014,2,5,"England",469574.24
2014,3,1,"Argentina",36957375
2014,3,1,"Columbia",4553499.02
2014,3,2,"Argentina",4945701.88
2014,3,2,"Belgium",565411.49
2014,3,2,"Columbia",4397451.18
2014,3,2,"Denmark",100151949.33
2014,3,4,"England",175208.44
2014,3,4,"Finland",39838901.76
2014,3,5,"England",525422.52
2014,4,1,"Argentina",43447950
2014,4,1,"Columbia",4356245.43
2014,4,2,"Argentina",5067317.5
2014,4,2,"Belgium",914878.65
2014,4,2,"Columbia",5183051.18
2014,4,2,"Denmark",102353411.01
2014,4,4,"England",181910.4
2014,4,4,"Finland",33158501.77
2014,4,5,"England",556099.15
2014,5,1,"Argentina",40863375
2014,5,1,"Columbia",4841843.13
2014,5,2,"Argentina",5792241.98
2014,5,2,"Belgium",778058.96
2014,5,2,"Columbia",5381451.18
2014,5,2,"Denmark",103370491.37
2014,5,4,"England",151092.4
2014,5,4,"Finland",23801300.73
2014,5,5,"England",556564.83
2014,6,1,"Argentina",40376700
2014,6,1,"Columbia",4556475.91
2014,6,2,"Argentina",5947242.28
2014,6,2,"Belgium",555981.9
2014,6,2,"Columbia",5588244.18
2014,6,2,"Denmark",122201643.59
2014,6,4,"England",164419.59
2014,6,4,"Finland",27895262.62
2014,6,5,"England",527586.13
2014,7,1,"Argentina",43458975
2014,7,1,"Columbia",4807423.76
2014,7,2,"Argentina",5594318.52
2014,7,2,"Belgium",1213244.48
2014,7,2,"Columbia",5962468.24
2014,7,2,"Denmark",135022315.76
2014,7,4,"England",181833.87
2014,7,4,"Finland",30143145.19
2014,7,5,"England",634160.66
2014,8,1,"Argentina",41302800
2014,8,1,"Columbia",2945606.8
2014,8,2,"Argentina",5367779.62
2014,8,2,"Belgium",665965.72
2014,8,2,"Columbia",5462834.12
2014,8,2,"Denmark",118334140.37
2014,8,4,"England",139770.59
2014,8,4,"Finland",26633523.87
2014,8,5,"England",469765.96
2014,9,1,"Argentina",43783425
2014,9,1,"Columbia",3645624.65
2014,9,2,"Argentina",5618164.72
2014,9,2,"Belgium",807730.7
2014,9,2,"Columbia",5955417.06
2014,9,2,"Denmark",131133133.59
2014,9,3,"Columbia",22459.6
2014,9,4,"England",173861.19
2014,9,4,"Finland",38019992.88
2014,9,5,"England",556789.45
2014,10,1,"Argentina",43777125
2014,10,1,"Columbia",3579737.26
2014,10,2,"Argentina",6459935.58
2014,10,2,"Belgium",809379.13
2014,10,2,"Columbia",6042685.3
2014,10,2,"Denmark",136919977.97
2014,10,3,"Columbia",161523.85
2014,10,4,"England",169238.25
2014,10,4,"Finland",23672488.22
2014,10,5,"England",555016.03
2014,11,1,"Argentina",42375375
2014,11,1,"Columbia",3270469.24
2014,11,2,"Argentina",6433704.76
2014,11,2,"Belgium",1078073.22
2014,11,2,"Columbia",5634191.99
2014,11,2,"Denmark",118431661.67
2014,11,3,"Columbia",175611
2014,11,4,"England",172209.52
2014,11,4,"Finland",25217203.55
2014,11,5,"England",702080.27
2014,12,1,"Argentina",44243325
2014,12,1,"Columbia",3497122.76
2014,12,2,"Argentina",5799395.84
2014,12,2,"Belgium",1160494.72
2014,12,2,"Columbia",6198339.19
2014,12,2,"Denmark",143531544.71
2014,12,3,"Columbia",151235.65
2014,12,4,"England",190486.77
2014,12,4,"Finland",30169071.14
2014,12,5,"England",702025.84
2015,1,1,"Argentina",46580625
2015,1,1,"Columbia",3714838.12
2015,1,2,"Argentina",5899549.88
2015,1,2,"Belgium",768168.38
2015,1,2,"Columbia",6766600
2015,1,2,"Denmark",133856392.86
2015,1,3,"Argentina",126000
2015,1,3,"Columbia",159065.7
2015,1,4,"England",195201
2015,1,4,"Finland",30706372.78
2015,1,5,"England",625523.23
2015,2,1,"Argentina",33068700
2015,2,1,"Columbia",3586109.1
2015,2,2,"Argentina",6045011.7
2015,2,2,"Belgium",911579.06
2015,2,2,"Columbia",5803800
2015,2,2,"Denmark",124109535.33
2015,2,3,"Argentina",4180050
2015,2,3,"Columbia",213032.1
2015,2,4,"England",116495.4
2015,2,4,"Finland",50113926.02
2015,2,5,"England",520297.16
2015,3,1,"Argentina",37864575
2015,3,1,"Columbia",4634858.58
2015,3,2,"Argentina",6517166.46
2015,3,2,"Belgium",1003893.87
2015,3,2,"Columbia",7220520
2015,3,2,"Denmark",155846791.86
2015,3,3,"Argentina",7437150
2015,3,3,"Columbia",214405.45
2015,3,4,"England",171654.87
2015,3,4,"Finland",9044923.37
2015,3,5,"England",644014.48
2015,4,1,"Argentina",35136675
2015,4,1,"Columbia",3937762.95
2015,4,2,"Argentina",6727013.02
2015,4,2,"Belgium",1152252.57
2015,4,2,"Columbia",6347680
2015,4,2,"Denmark",155810968.54
2015,4,3,"Argentina",7626150
2015,4,3,"Columbia",289779.2
2015,4,4,"England",175965.8
2015,4,4,"Finland",31067217.98
2015,4,5,"England",700804.34
2015,5,1,"Argentina",35565075
2015,5,1,"Columbia",3645917.15
2015,5,2,"Argentina",6040242.46
2015,5,2,"Belgium",974222.13
2015,5,2,"Columbia",6298080
2015,5,2,"Denmark",137113400.57
2015,5,3,"Argentina",6189750
2015,5,3,"Columbia",269092.15
2015,5,4,"England",146318.87
2015,5,4,"Finland",24446467.61
2015,5,5,"England",561857.78
2015,6,1,"Argentina",41756400
2015,6,1,"Columbia",4283181.4
2015,6,2,"Argentina",6865320.98
2015,6,2,"Belgium",1130822.98
2015,6,2,"Columbia",6897600
2015,6,2,"Denmark",190104748.79
2015,6,3,"Argentina",6611850
2015,6,3,"Columbia",263377.45
2015,6,4,"England",168604.45
2015,6,4,"Finland",31931776.3
2015,6,5,"England",632909.8
2015,7,1,"Argentina",33115950
2015,7,1,"Columbia",4079098.85
2015,7,2,"Argentina",7668937.92
2015,7,2,"Belgium",1368196.9
2015,7,2,"Columbia",7364800
2015,7,2,"Denmark",127425823.2
2015,7,3,"Argentina",9405900
2015,7,3,"Columbia",272259.75
2015,7,4,"England",202965.67
2015,7,4,"Finland",28287106.21
2015,7,5,"England",758260.11
2015,8,1,"Argentina",23892750
2015,8,1,"Columbia",3052256.05
2015,8,2,"Argentina",6512397.22
2015,8,2,"Belgium",1213244.48
2015,8,2,"Columbia",5960240.14
2015,8,2,"Denmark",170660459.11
2015,8,3,"Argentina",15353100
2015,8,3,"Columbia",184946.75
2015,8,4,"England",117529.03
2015,8,4,"Finland",28765114.99
2015,8,5,"England",465606.53
2015,9,1,"Argentina",24914925
2015,9,1,"Columbia",3292214.49
2015,9,2,"Argentina",7041782.86
2015,9,2,"Belgium",847293.02
2015,9,2,"Columbia",6969600
2015,9,2,"Denmark",177181292.15
2015,9,3,"Argentina",19533150
2015,9,3,"Columbia",239002.1
2015,9,4,"England",175108.6
2015,9,4,"Finland",28817795.16
2015,9,5,"England",627134.72
2015,10,1,"Argentina",16380000
2015,10,1,"Columbia",4067910.85
2015,10,2,"Argentina",7447168.26
2015,10,2,"Belgium",1259400.52
2015,10,2,"Columbia",6637040
2015,10,2,"Denmark",162617201.82
2015,10,3,"Argentina",18515700
2015,10,3,"Columbia",276301.7
2015,10,4,"England",164722.15
2015,10,4,"Finland",31268810.86
2015,10,5,"England",624252.68
2015,11,1,"Argentina",14762475
2015,11,1,"Columbia",3634705.1
2015,11,2,"Argentina",7840630.56
2015,11,2,"Belgium",1158546.58
2015,11,2,"Columbia",7280000
2015,11,2,"Denmark",171598330.34
2015,11,3,"Argentina",18802350
2015,11,3,"Columbia",187704.3
2015,12,1,"Argentina",15003450
2015,12,1,"Columbia",3569022.15
2015,12,2,"Argentina",6431320.14
2015,12,2,"Belgium",1660268.72
2015,12,2,"Columbia",6792000
2015,12,2,"Denmark",199093884
2015,12,3,"Argentina",20257650
2015,12,3,"Columbia",282780.1
2016,1,1,"Argentina",14740425
2016,1,1,"Columbia",3313485.6
2016,1,2,"Argentina",7535399.2
2016,1,2,"Belgium",972174.24
2016,1,2,"Columbia",7215200
2016,1,2,"Denmark",126197283.95
2016,1,3,"Argentina",17375400
2016,1,3,"Columbia",253521
2016,2,1,"Argentina",11214000
2016,2,1,"Columbia",3617369.09
2016,2,2,"Argentina",7318398.78
2016,2,2,"Belgium",1087259.28
2016,2,2,"Columbia",6409600
2016,2,2,"Denmark",176268459.04
2016,2,3,"Argentina",16280775
2016,2,3,"Columbia",228392.8
2016,3,1,"Argentina",15016050
2016,3,1,"Columbia",2928867.34
2016,3,2,"Argentina",7456706.74
2016,3,2,"Belgium",1424461.63
2016,3,2,"Columbia",7419560
2016,3,2,"Denmark",195700752.63
2016,3,3,"Argentina",20441925
2016,3,3,"Columbia",930756.55
2016,4,3,"Argentina",15893325
2016,4,3,"Columbia",2065856.85
2016,5,3,"Argentina",20074950
2016,5,3,"Columbia",1806626.8
2016,6,3,"Argentina",17676225
2016,6,3,"Columbia",2587822.25
2016,7,3,"Argentina",16461900
2016,7,3,"Columbia",2790065.35
2016,8,3,"Argentina",17821125
2016,8,3,"Columbia",2781916
2016,9,3,"Argentina",18586575
2016,9,3,"Columbia",3572224.1
2016,10,3,"Argentina",17909325
2016,10,3,"Columbia",3196697.4
2016,11,3,"Argentina",19826100
2016,11,3,"Columbia",4263236.55
2016,12,3,"Argentina",16550100
2016,12,3,"Columbia",4351764.9
